date,time,entidad,compra,venta
2026-08-04,2026-08-04T20:26:45Z,Cambio Extranjero,58.05,
2026-08-04,2026-08-04T20:26:45Z,Asociación Romana,57.5,
2026-08-04,2026-08-04T20:26:45Z,Taveras,58,58.6
2026-08-04,2026-08-04T20:26:45Z,RM,58.25,58.6
2026-08-04,2026-08-04T20:26:45Z,Panora Exchange,58.05,58.6
2026-08-04,2026-08-04T20:26:45Z,Moneycorps,58,58.7
2026-08-04,2026-08-04T20:26:45Z,SCT,58.1,58.7
2026-08-04,2026-08-04T20:26:45Z,Gamelin,58,58.8
2026-08-04,2026-08-04T20:26:45Z,Banco Unión,57.5,59.5
2026-08-04,2026-08-04T20:26:45Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.5
2026-08-04,2026-08-04T20:26:45Z,Motor Crédito,57.8,59.5
2026-08-04,2026-08-04T20:26:45Z,Asociación La Nacional de Ahorros y Préstamos,57.5,59.8
2026-08-04,2026-08-04T20:26:45Z,Banco BHD,56,59.8
2026-08-04,2026-08-04T20:26:45Z,Bonanza Banco,57.8,59.8
2026-08-04,2026-08-04T20:26:45Z,Banco Lafise,56.7,60
2026-08-04,2026-08-04T20:26:45Z,Banreservas,56.5,60
2026-08-04,2026-08-04T20:26:45Z,Banesco,56.8,60
