date,time,entidad,compra,venta
2026-07-18,2026-07-18T13:18:02Z,Cambio Extranjero,58,
2026-07-18,2026-07-18T13:18:02Z,Asociación Romana,57.8,
2026-07-18,2026-07-18T13:18:02Z,Taveras,58.1,58.7
2026-07-18,2026-07-18T13:18:02Z,RM,58.1,58.7
2026-07-18,2026-07-18T13:18:02Z,Panora Exchange,58.1,58.8
2026-07-18,2026-07-18T13:18:02Z,Moneycorps,58.2,58.9
2026-07-18,2026-07-18T13:18:02Z,Gamelin,58,58.9
2026-07-18,2026-07-18T13:18:02Z,SCT,58.3,59
2026-07-18,2026-07-18T13:18:02Z,Motor Crédito,58,59.7
2026-07-18,2026-07-18T13:18:02Z,Banco Unión,57.9,59.9
2026-07-18,2026-07-18T13:18:02Z,Banco BHD,56.05,60
2026-07-18,2026-07-18T13:18:02Z,Banreservas,57,60.25
2026-07-18,2026-07-18T13:18:02Z,Asociación La Nacional de Ahorros y Préstamos,57,60.25
2026-07-18,2026-07-18T13:18:02Z,Asociación Cibao de Ahorros y Préstamos,57,60.25
2026-07-18,2026-07-18T13:18:02Z,Banco Lafise,57.2,60.5
2026-07-18,2026-07-18T13:18:02Z,Bonanza Banco,58,60.5
2026-07-18,2026-07-18T13:18:02Z,Asociación Popular de Ahorros y Préstamos,57.05,60.5
2026-07-18,2026-07-18T13:18:02Z,Abonap,57.27,60.56
2026-07-18,2026-07-18T13:18:02Z,Banesco,56.8,60.6
2026-07-18,2026-07-18T13:18:02Z,Asociación Peravia de Ahorros y Préstamos,56.8,60.949999999999996
