date,time,entidad,compra,venta
2026-09-06,2026-09-06T18:05:54Z,Cambio Extranjero,58.6,
2026-09-06,2026-09-06T18:05:54Z,Asociación Romana,57.8,
2026-09-06,2026-09-06T18:05:54Z,Moneycorps,58.6,59.3
2026-09-06,2026-09-06T18:05:54Z,Taveras,58.5,59.3
2026-09-06,2026-09-06T18:05:54Z,Panora Exchange,58.5,59.349999999999994
2026-09-06,2026-09-06T18:05:54Z,Gamelin,58.8,59.4
2026-09-06,2026-09-06T18:05:54Z,RM,58.7,59.5
2026-09-06,2026-09-06T18:05:54Z,SCT,58.8,59.7
2026-09-06,2026-09-06T18:05:54Z,Banco BHD,56,59.8
2026-09-06,2026-09-06T18:05:54Z,Bonanza Banco,58.1,59.8
2026-09-06,2026-09-06T18:05:54Z,Motor Crédito,57.9,59.8
2026-09-06,2026-09-06T18:05:54Z,Banreservas,56.4,59.9
2026-09-06,2026-09-06T18:05:54Z,Banesco,56.5,59.9
2026-09-06,2026-09-06T18:05:54Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-06,2026-09-06T18:05:54Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-06,2026-09-06T18:05:54Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-06,2026-09-06T18:05:54Z,Banco Lafise,56.6,60
