date,time,entidad,compra,venta
2026-04-10,2026-04-10T13:15:15Z,Asociación Romana,58.8,
2026-04-10,2026-04-10T13:15:15Z,Panora Exchange,59.3,60.25
2026-04-10,2026-04-10T13:15:15Z,SCT,59.4,60.5
2026-04-10,2026-04-10T13:15:15Z,RM,59.5,60.5
2026-04-10,2026-04-10T13:15:15Z,Moneycorps,59.25,60.5
2026-04-10,2026-04-10T13:15:15Z,Cambio Extranjero,,61.05
2026-04-10,2026-04-10T13:15:15Z,Gamelin,59.4,61.05
2026-04-10,2026-04-10T13:15:15Z,Taveras,60.5,61.25
2026-04-10,2026-04-10T13:15:15Z,Banco Unión,58.25,61.25
2026-04-10,2026-04-10T13:15:15Z,Bonanza Banco,58.75,61.4
2026-04-10,2026-04-10T13:15:15Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.5
2026-04-10,2026-04-10T13:15:15Z,Banreservas,59,61.5
2026-04-10,2026-04-10T13:15:15Z,Motor Crédito,59.2,61.5
2026-04-10,2026-04-10T13:15:15Z,Abonap,58.49,61.64
2026-04-10,2026-04-10T13:15:15Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-10,2026-04-10T13:15:15Z,Banco Caribe,58.5,61.849999999999994
2026-04-10,2026-04-10T13:15:15Z,Asociación Duarte,58.4,61.9
2026-04-10,2026-04-10T13:15:15Z,Banco BHD,58.4,61.9
2026-04-10,2026-04-10T13:15:15Z,Banco Lafise,58.4,61.9
2026-04-10,2026-04-10T13:15:15Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-10,2026-04-10T13:15:15Z,Banesco,58.3,61.9
2026-04-10,2026-04-10T13:15:15Z,Asociación Popular de Ahorros y Préstamos,58.1,61.9
