date,time,entidad,compra,venta
2026-05-15,2026-05-15T17:29:37Z,Cambio Extranjero,58.9,
2026-05-15,2026-05-15T17:29:37Z,Asociación Romana,58.6,
2026-05-15,2026-05-15T17:29:37Z,RM,59,59.7
2026-05-15,2026-05-15T17:29:37Z,Moneycorps,59,59.8
2026-05-15,2026-05-15T17:29:37Z,Taveras,59.25,59.9
2026-05-15,2026-05-15T17:29:37Z,SCT,59,60
2026-05-15,2026-05-15T17:29:37Z,Panora Exchange,59.1,60
2026-05-15,2026-05-15T17:29:37Z,Gamelin,59,60
2026-05-15,2026-05-15T17:29:37Z,Motor Crédito,58.65,60.5
2026-05-15,2026-05-15T17:29:37Z,Banco BHD,57.1,60.8
2026-05-15,2026-05-15T17:29:37Z,Bonanza Banco,58.7,60.8
2026-05-15,2026-05-15T17:29:37Z,Banreservas,57.8,60.8
2026-05-15,2026-05-15T17:29:37Z,Banco Caribe,58,60.8
2026-05-15,2026-05-15T17:29:37Z,Abonap,57.809999999999995,60.839999999999996
2026-05-15,2026-05-15T17:29:37Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-15,2026-05-15T17:29:37Z,Banco Lafise,57.5,61
2026-05-15,2026-05-15T17:29:37Z,Banco Unión,58.5,61
2026-05-15,2026-05-15T17:29:37Z,Asociación La Nacional de Ahorros y Préstamos,58,61
2026-05-15,2026-05-15T17:29:37Z,Banesco,58,61
2026-05-15,2026-05-15T17:29:37Z,Asociación Peravia de Ahorros y Préstamos,58,61
2026-05-15,2026-05-15T17:29:37Z,Asociación Popular de Ahorros y Préstamos,57.75,61
