date,time,entidad,compra,venta
2026-08-01,2026-08-01T20:10:59Z,Cambio Extranjero,58,
2026-08-01,2026-08-01T20:10:59Z,Asociación Romana,57.3,
2026-08-01,2026-08-01T20:10:59Z,Taveras,58,58.6
2026-08-01,2026-08-01T20:10:59Z,RM,58.25,58.6
2026-08-01,2026-08-01T20:10:59Z,Panora Exchange,58.05,58.6
2026-08-01,2026-08-01T20:10:59Z,Moneycorps,58.1,58.78
2026-08-01,2026-08-01T20:10:59Z,Gamelin,58,58.8
2026-08-01,2026-08-01T20:10:59Z,SCT,58.2,58.8
2026-08-01,2026-08-01T20:10:59Z,Asociación La Nacional de Ahorros y Préstamos,56.6,59.5
2026-08-01,2026-08-01T20:10:59Z,Banco Unión,57.5,59.5
2026-08-01,2026-08-01T20:10:59Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.5
2026-08-01,2026-08-01T20:10:59Z,Motor Crédito,57.8,59.5
2026-08-01,2026-08-01T20:10:59Z,Banco BHD,56,59.8
2026-08-01,2026-08-01T20:10:59Z,Bonanza Banco,57.8,59.8
2026-08-01,2026-08-01T20:10:59Z,Banreservas,56.5,60
2026-08-01,2026-08-01T20:10:59Z,Banesco,56.8,60
2026-08-01,2026-08-01T20:10:59Z,Banco Lafise,56.7,60
2026-08-01,2026-08-01T20:10:59Z,Asociación Peravia de Ahorros y Préstamos,56.1,60.25
