date,time,entidad,compra,venta
2026-04-28,2026-04-28T20:18:22Z,Asociación Romana,58.2,
2026-04-28,2026-04-28T20:18:22Z,Taveras,59.1,59.75
2026-04-28,2026-04-28T20:18:22Z,Moneycorps,59.2,59.8
2026-04-28,2026-04-28T20:18:22Z,RM,59,59.849999999999994
2026-04-28,2026-04-28T20:18:22Z,Gamelin,59,60
2026-04-28,2026-04-28T20:18:22Z,Panora Exchange,59.349999999999994,60
2026-04-28,2026-04-28T20:18:22Z,Cambio Extranjero,,60.1
2026-04-28,2026-04-28T20:18:22Z,SCT,59.3,60.3
2026-04-28,2026-04-28T20:18:22Z,Motor Crédito,58.65,60.5
2026-04-28,2026-04-28T20:18:22Z,Asociación Cibao de Ahorros y Préstamos,58,61
2026-04-28,2026-04-28T20:18:22Z,Bonanza Banco,58.5,61
2026-04-28,2026-04-28T20:18:22Z,Banreservas,58,61
2026-04-28,2026-04-28T20:18:22Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-04-28,2026-04-28T20:18:22Z,Banco Caribe,58.5,61.25
2026-04-28,2026-04-28T20:18:22Z,Abonap,57.97,61.28
2026-04-28,2026-04-28T20:18:22Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
2026-04-28,2026-04-28T20:18:22Z,Banco BHD,57.7,61.4
2026-04-28,2026-04-28T20:18:22Z,Banco Lafise,57.9,61.4
2026-04-28,2026-04-28T20:18:22Z,Banesco,58,61.4
2026-04-28,2026-04-28T20:18:22Z,Asociación Popular de Ahorros y Préstamos,57.75,61.4
2026-04-28,2026-04-28T20:18:22Z,Banco Unión,58.5,61.5
