date,time,entidad,compra,venta
2026-05-27,2026-05-27T21:03:53Z,Cambio Extranjero,58.1,
2026-05-27,2026-05-27T21:03:53Z,Asociación Romana,57.1,
2026-05-27,2026-05-27T21:03:53Z,RM,58.1,59
2026-05-27,2026-05-27T21:03:53Z,Moneycorps,58,59
2026-05-27,2026-05-27T21:03:53Z,SCT,58,59.3
2026-05-27,2026-05-27T21:03:53Z,Taveras,58.5,59.3
2026-05-27,2026-05-27T21:03:53Z,Panora Exchange,58,59.3
2026-05-27,2026-05-27T21:03:53Z,Gamelin,58.1,59.4
2026-05-27,2026-05-27T21:03:53Z,Motor Crédito,57.849999999999994,59.75
2026-05-27,2026-05-27T21:03:53Z,Asociación Cibao de Ahorros y Préstamos,56.5,60
2026-05-27,2026-05-27T21:03:53Z,Banco Lafise,56.5,60
2026-05-27,2026-05-27T21:03:53Z,Bonanza Banco,57.5,60
2026-05-27,2026-05-27T21:03:53Z,Banreservas,57,60
2026-05-27,2026-05-27T21:03:53Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-05-27,2026-05-27T21:03:53Z,Banesco,57,60
2026-05-27,2026-05-27T21:03:53Z,Banco Caribe,57,60
2026-05-27,2026-05-27T21:03:53Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-05-27,2026-05-27T21:03:53Z,Banco BHD,56.7,60.2
2026-05-27,2026-05-27T21:03:53Z,Abonap,57.09,60.25
2026-05-27,2026-05-27T21:03:53Z,Banco Unión,57,60.5
2026-05-27,2026-05-27T21:03:53Z,Asociación Peravia de Ahorros y Préstamos,57,60.5
