date,time,entidad,compra,venta
2026-09-05,2026-09-05T14:44:43Z,Cambio Extranjero,58.6,
2026-09-05,2026-09-05T14:44:43Z,Asociación Romana,57.8,
2026-09-05,2026-09-05T14:44:43Z,Moneycorps,58.6,59.3
2026-09-05,2026-09-05T14:44:43Z,Taveras,58.5,59.3
2026-09-05,2026-09-05T14:44:43Z,Panora Exchange,58.5,59.349999999999994
2026-09-05,2026-09-05T14:44:43Z,Gamelin,58.8,59.4
2026-09-05,2026-09-05T14:44:43Z,RM,58.7,59.5
2026-09-05,2026-09-05T14:44:43Z,SCT,58.8,59.7
2026-09-05,2026-09-05T14:44:43Z,Banco BHD,56,59.8
2026-09-05,2026-09-05T14:44:43Z,Bonanza Banco,58.1,59.8
2026-09-05,2026-09-05T14:44:43Z,Motor Crédito,57.9,59.8
2026-09-05,2026-09-05T14:44:43Z,Banreservas,56.4,59.9
2026-09-05,2026-09-05T14:44:43Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-05,2026-09-05T14:44:43Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-05,2026-09-05T14:44:43Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-05,2026-09-05T14:44:43Z,Banesco,56.5,59.9
2026-09-05,2026-09-05T14:44:43Z,Banco Lafise,56.6,60
