date,time,entidad,compra,venta
2026-08-15,2026-08-15T16:26:04Z,Cambio Extranjero,58.349999999999994,
2026-08-15,2026-08-15T16:26:04Z,Asociación Romana,57.5,
2026-08-15,2026-08-15T16:26:04Z,Taveras,58.349999999999994,58.8
2026-08-15,2026-08-15T16:26:04Z,Moneycorps,58.4,59
2026-08-15,2026-08-15T16:26:04Z,SCT,58.4,59
2026-08-15,2026-08-15T16:26:04Z,RM,58.5,59
2026-08-15,2026-08-15T16:26:04Z,Panora Exchange,58.4,59.15
2026-08-15,2026-08-15T16:26:04Z,Gamelin,58.5,59.3
2026-08-15,2026-08-15T16:26:04Z,Motor Crédito,57.8,59.5
2026-08-15,2026-08-15T16:26:04Z,Banco Unión,57.75,59.75
2026-08-15,2026-08-15T16:26:04Z,Bonanza Banco,57.8,59.8
2026-08-15,2026-08-15T16:26:04Z,Asociación La Nacional de Ahorros y Préstamos,56.9,59.9
2026-08-15,2026-08-15T16:26:04Z,Banco BHD,56.1,59.9
2026-08-15,2026-08-15T16:26:04Z,Banreservas,56.4,59.9
2026-08-15,2026-08-15T16:26:04Z,Banco Lafise,56.6,59.9
2026-08-15,2026-08-15T16:26:04Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.9
2026-08-15,2026-08-15T16:26:04Z,Banesco,56.5,59.9
