date,time,entidad,compra,venta
2026-06-24,2026-06-24T20:53:03Z,Cambio Extranjero,58.8,
2026-06-24,2026-06-24T20:53:03Z,Asociación Romana,57.65,
2026-06-24,2026-06-24T20:53:03Z,Taveras,58,58.75
2026-06-24,2026-06-24T20:53:03Z,Moneycorps,58.65,59.5
2026-06-24,2026-06-24T20:53:03Z,Gamelin,58.5,59.5
2026-06-24,2026-06-24T20:53:03Z,RM,58.9,59.6
2026-06-24,2026-06-24T20:53:03Z,Panora Exchange,58.9,59.75
2026-06-24,2026-06-24T20:53:03Z,Motor Crédito,57.949999999999996,59.9
2026-06-24,2026-06-24T20:53:03Z,SCT,58.9,60
2026-06-24,2026-06-24T20:53:03Z,Bonanza Banco,58.3,60
2026-06-24,2026-06-24T20:53:03Z,Banco Caribe,57,60
2026-06-24,2026-06-24T20:53:03Z,Abonap,57.01,60.14
2026-06-24,2026-06-24T20:53:03Z,Banreservas,57.15,60.15
2026-06-24,2026-06-24T20:53:03Z,Banco Lafise,56.75,60.25
2026-06-24,2026-06-24T20:53:03Z,Banesco,57,60.25
2026-06-24,2026-06-24T20:53:03Z,Asociación Popular de Ahorros y Préstamos,57,60.25
2026-06-24,2026-06-24T20:53:03Z,Asociación Cibao de Ahorros y Préstamos,58,60.5
2026-06-24,2026-06-24T20:53:03Z,Banco BHD,56.8,60.5
2026-06-24,2026-06-24T20:53:03Z,Banco Unión,58.5,60.5
2026-06-24,2026-06-24T20:53:03Z,Asociación La Nacional de Ahorros y Préstamos,58,60.5
2026-06-24,2026-06-24T20:53:03Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.55
