date,bank,tipo,buy,sell
2026-03-09,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-09,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-09,Banreservas,,59.65,61.65
2026-03-09,Banco Popular,,58.7,61.85
2026-03-09,BHD,,59.15,61.849999999999994
2026-03-09,Banco Caribe,,59.25,61.4
2026-03-09,BDI,,59.8,61.8
2026-03-09,Vimenca,,59.849999999999994,61.849999999999994
2026-03-09,BLH,,59.3,61.4
2026-03-09,Banesco,,59.05,61.849999999999994
2026-03-09,Ademi,,59.2,61.5
2026-03-09,Quezada,,60.2,61.5
2026-03-09,Lafise,,58.9,61.5
2026-03-09,Promerica,,59,61.5
