date,bank,tipo,buy,sell
2026-03-23,Scotiabank,Dólar (US) Canales Digitales*,58.8,61.8
2026-03-23,Scotiabank,Dólar (US) Sucursales,58.8,61.8
2026-03-23,Banreservas,,58.75,61.25
2026-03-23,Banco Popular,,58.05,61.8
2026-03-23,BHD,,58.5,61.5
2026-03-23,Banco Caribe,,58.75,61.25
2026-03-23,BDI,,59.5,61.8
2026-03-23,Vimenca,,58.8,61.5
2026-03-23,BLH,,58.9,61.6
2026-03-23,Banesco,,58.5,61.5
2026-03-23,Ademi,,58.8,61.5
2026-03-23,Quezada,,60.349999999999994,61.5
2026-03-23,Lafise,,58,61.5
2026-03-23,Promerica,,58.7,61.5
