date,bank,tipo,buy,sell
2026-03-11,Scotiabank,Dólar (US) Canales Digitales*,59.6,62.6
2026-03-11,Scotiabank,Dólar (US) Sucursales,59.6,62.6
2026-03-11,Banreservas,,60.449999999999996,62.449999999999996
2026-03-11,Banco Popular,,59.6,62.75
2026-03-11,BHD,,59.8,62.5
2026-03-11,Banco Caribe,,60.3,62.4
2026-03-11,BDI,,60.5,62.25
2026-03-11,Vimenca,,60.5,62.5
2026-03-11,BLH,,60.1,62.5
2026-03-11,Banesco,,60.15,62.7
2026-03-11,Ademi,,59.9,61.9
2026-03-11,Quezada,,61,62.3
2026-03-11,Lafise,,60,62.5
2026-03-11,Promerica,,60.1,62.6
