date,bank,tipo,buy,sell
2026-03-20,Scotiabank,Dólar (US) Canales Digitales*,58.5,61.5
2026-03-20,Scotiabank,Dólar (US) Sucursales,58.5,61.5
2026-03-20,Banreservas,,58.75,61.25
2026-03-20,Banco Popular,,57.75,61.5
2026-03-20,BHD,,58.7,61.5
2026-03-20,Banco Caribe,,58.5,61.25
2026-03-20,BDI,,58.8,61.5
2026-03-20,Vimenca,,58.8,61.5
2026-03-20,BLH,,58.2,61
2026-03-20,Banesco,,58.5,61.5
2026-03-20,Ademi,,58.8,61.5
2026-03-20,Quezada,,59,61.2
2026-03-20,Lafise,,58,61.5
2026-03-20,Promerica,,58.7,61.5
